GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Awesome app backend,com.example,Calculator,0,7,0,0,0,2,0,2,0,2
Awesome app backend,com.example,Main,19,0,0,0,5,0,2,0,2,0
